Designator,Footprint,Quantity,Value,LCSC Part #
"+5V, MISO",PinHeader_1x5_P2.5mm_Drill1.1mm,2,B5B-XH-A_LF__SN_,B5B-XH-A(LF)(SN)
C1,0805,1,100nF_0603_16V,
C2,0805,1,100nF_0603_16V,
C3,0805,1,100nF_0603_16V,
C4,0805,1,100nF_0603_16V,
C5,CP_Elec_4x5.4,1,CP_Radial_D8.0mm_P5.00mm 4.7,
C6,0805,1,100nF_0603_16V,
C7,0805,1,100nF_0603_16V,
CRYSTAL,Crystal_HC49-U_Vertical,1,16MHz_18pF_FA238,
"DZ1, DZ2",D_MiniMELF,2,D3Z6V2BF,
F1,0805,1,Fuse,
PRG,0805,1,LED,
PWR,0805,1,LED,
R1,0805,1,0R_0603,
R2,0805,1,0R_0603,
R3,0805,1,110k_0603,
R4,0805,1,0R_0603,
R5,0805,1,0R_0603,
R6,0805,1,0R_0603,
R7,0805,1,0R_0603,
Self,JUMPER_SMD_1x2,1,Jumper_2_Bridged,
"Slow, V-target",Jumper_P2.54mm_D0.7mm,2,Jumper_2_Bridged,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega8A-A,
U2,SOT-223-3_TabPin2,1,AMS1117,
USB-A-MALE,USB_Male_A_UP2-AH-1-TH,1,USB_A,
